IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.229.167,443,443,true,FRA,Europe,Frankfurt,175,8.84
79.72.95.163,443,443,true,FRA,Europe,Frankfurt,172,8.83
144.21.39.61,443,443,true,FRA,Europe,Frankfurt,164,8.82
141.147.81.244,443,443,true,FRA,Europe,Frankfurt,185,8.82
144.21.42.236,443,443,true,FRA,Europe,Frankfurt,195,8.79
141.147.67.26,443,443,true,FRA,Europe,Frankfurt,173,8.78
141.147.51.43,443,443,true,FRA,Europe,Frankfurt,179,8.78
130.162.171.40,443,443,true,FRA,Europe,Frankfurt,198,8.75
129.159.246.167,443,443,true,FRA,Europe,Frankfurt,174,8.73
144.24.191.26,443,443,true,FRA,Europe,Frankfurt,173,8.66
129.159.195.60,443,443,true,FRA,Europe,Frankfurt,169,8.65
150.230.115.239,443,443,true,FRA,Europe,Frankfurt,174,8.62
141.144.201.90,443,443,true,FRA,Europe,Frankfurt,174,8.61
79.72.75.43,443,443,true,FRA,Europe,Frankfurt,198,8.61
144.21.36.176,443,443,true,FRA,Europe,Frankfurt,167,8.58
143.47.248.12,443,443,true,FRA,Europe,Frankfurt,176,8.57
193.123.58.6,443,443,true,FRA,Europe,Frankfurt,186,8.52
141.148.231.106,443,443,true,FRA,Europe,Frankfurt,176,8.50
84.235.169.149,443,443,true,FRA,Europe,Frankfurt,176,8.50
141.148.238.251,443,443,true,FRA,Europe,Frankfurt,173,8.49
158.180.28.167,443,443,true,FRA,Europe,Frankfurt,181,8.48
143.47.250.244,443,443,true,FRA,Europe,Frankfurt,197,8.48
141.147.97.175,443,443,true,FRA,Europe,Frankfurt,181,8.46
132.226.211.240,443,443,true,FRA,Europe,Frankfurt,179,8.43
193.122.7.232,443,443,true,FRA,Europe,Frankfurt,167,8.43
129.159.207.69,443,443,true,FRA,Europe,Frankfurt,179,8.41
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,183,8.41
141.148.235.110,443,443,true,FRA,Europe,Frankfurt,172,8.40
152.70.172.171,443,443,true,FRA,Europe,Frankfurt,172,8.39
138.2.144.1,443,443,true,FRA,Europe,Frankfurt,167,8.35
152.70.63.169,443,443,true,FRA,Europe,Frankfurt,176,8.35
141.144.246.87,443,443,true,FRA,Europe,Frankfurt,183,8.32
138.2.164.8,443,443,true,FRA,Europe,Frankfurt,186,8.31
130.162.56.194,443,443,true,FRA,Europe,Frankfurt,175,8.31
143.47.189.131,443,443,true,FRA,Europe,Frankfurt,208,8.30
158.178.157.239,443,443,true,FRA,Europe,Frankfurt,195,8.29
141.147.65.50,443,443,true,FRA,Europe,Frankfurt,202,8.29
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,172,8.27
158.180.24.246,443,443,true,FRA,Europe,Frankfurt,174,8.25
138.3.242.129,443,443,true,FRA,Europe,Frankfurt,186,8.25
150.230.120.152,443,443,true,FRA,Europe,Frankfurt,185,8.22
158.178.153.238,443,443,true,FRA,Europe,Frankfurt,174,8.21
158.178.144.236,443,443,true,FRA,Europe,Frankfurt,171,8.19
132.226.214.95,443,443,true,FRA,Europe,Frankfurt,181,8.19
141.147.99.9,443,443,true,FRA,Europe,Frankfurt,221,8.15
193.123.62.174,443,443,true,FRA,Europe,Frankfurt,165,8.13
141.148.245.255,443,443,true,FRA,Europe,Frankfurt,168,8.12
143.47.229.171,443,443,true,FRA,Europe,Frankfurt,186,8.11
130.162.218.208,443,443,true,FRA,Europe,Frankfurt,181,8.09
130.162.242.141,443,443,true,FRA,Europe,Frankfurt,186,8.07
130.162.232.14,443,443,true,FRA,Europe,Frankfurt,173,8.07
144.24.178.193,443,443,true,FRA,Europe,Frankfurt,177,8.02
143.47.241.214,443,443,true,FRA,Europe,Frankfurt,187,8.02
84.8.151.16,443,443,true,FRA,Europe,Frankfurt,191,7.99
158.178.145.25,443,443,true,FRA,Europe,Frankfurt,185,7.97
152.67.141.149,443,443,true,FRA,Europe,Frankfurt,186,7.92
144.24.160.235,443,443,true,FRA,Europe,Frankfurt,188,7.88
158.178.144.218,443,443,true,FRA,Europe,Frankfurt,195,7.87
158.101.207.163,443,443,true,FRA,Europe,Frankfurt,184,7.86
138.2.141.187,443,443,true,FRA,Europe,Frankfurt,167,7.86
79.72.72.87,443,443,true,FRA,Europe,Frankfurt,183,7.84
141.148.226.42,443,443,true,FRA,Europe,Frankfurt,167,7.82
132.226.198.224,443,443,true,FRA,Europe,Frankfurt,176,7.82
141.144.228.180,443,443,true,FRA,Europe,Frankfurt,182,7.72
152.70.63.72,443,443,true,FRA,Europe,Frankfurt,163,7.72
130.162.58.205,443,443,true,FRA,Europe,Frankfurt,174,7.70
193.123.61.95,443,443,true,FRA,Europe,Frankfurt,190,7.69
158.178.154.99,443,443,true,FRA,Europe,Frankfurt,197,7.68
164.152.26.70,2052,443,true,ORD,North America,Chicago,221,7.65
130.162.245.23,443,443,true,FRA,Europe,Frankfurt,176,7.64
138.2.160.94,443,443,true,FRA,Europe,Frankfurt,177,7.63
130.162.172.187,443,443,true,FRA,Europe,Frankfurt,183,7.63
150.230.147.169,443,443,true,FRA,Europe,Frankfurt,184,7.62
158.180.17.46,443,443,true,FRA,Europe,Frankfurt,174,7.62
143.47.241.121,443,443,true,FRA,Europe,Frankfurt,178,7.61
79.72.69.157,443,443,true,FRA,Europe,Frankfurt,173,7.57
204.216.214.115,2095,443,true,MRS,Europe,Marseille,226,7.56
144.21.49.136,443,443,true,FRA,Europe,Frankfurt,172,7.56
79.72.85.158,443,443,true,FRA,Europe,Frankfurt,200,7.55
141.144.225.158,443,443,true,FRA,Europe,Frankfurt,172,7.53
79.72.94.253,443,443,true,FRA,Europe,Frankfurt,205,7.52
143.47.227.245,443,443,true,FRA,Europe,Frankfurt,179,7.49
150.230.151.50,443,443,true,AMS,Europe,Amsterdam,160,7.43
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,173,7.42
141.147.75.162,443,443,true,FRA,Europe,Frankfurt,188,7.41
143.47.242.99,443,443,true,FRA,Europe,Frankfurt,174,7.40
130.162.182.48,443,443,true,FRA,Europe,Frankfurt,179,7.39
143.47.225.68,443,443,true,FRA,Europe,Frankfurt,185,7.38
158.180.26.45,443,443,true,FRA,Europe,Frankfurt,188,7.36
158.180.34.0,443,443,true,FRA,Europe,Frankfurt,183,7.35
